"parent_id","name","count"
324,Bionicle,38
535,Collectible Minifigures,24
507,Educational and Dacta,20
126,Space,20
158,Star Wars,19
186,Castle,17
50,Town,14
411,Legoland,13
443,Service Packs,13
112,Racers,12
482,Super Heroes,10
1,Technic,10
365,Classic,9
580,Mixels,9
465,Universal Building Set,8
206,Seasonal,7
307,Aquazone,7
390,Fabuland,6
591,Juniors,6
425,Legoland Parks,6
246,Harry Potter,5
22,Creator,5
279,"4 Juniors",5
233,Train,5
318,Belville,5
296,Adventurers,4
458,Sports,4
264,Indiana Jones,4
258,Mindstorms,4
254,Bulk Bricks,3
571,Legends of Chima,3
400,Hero Factory,3
147,Pirates,3
501,Gear,2
304,Alpha Team,2
475,Western,2
494,Friends,2
155,Modular Buildings,2
408,LEGO Brand Store,2
504,Duplo,2
497,Books,2
561,The Hobbit and Lord of the Rings,2
302,Agents,1
435,Ninjago,1
276,Sculptures,1
315,Atlantis,1
273,Studios,1
252,Architecture,1
478,X-Pod,1
204,Designer Sets,1
